Bioactivity_ID,Aid_Type,Activity,Protein_Accession,Activity_Type,Activity_Qualifier,Bioassay_Data_Source,BioAssay_Name,Compound_Name,Target_Name,Target_Link,ECs,Representative_Protein_Accession,Cell_ID,Anatomy,dois,pmcids,pclids,citations,BioAssay_AID,Substance_SID,Compound_CID,refsid,Gene_ID,PMID,Last_Modified_Date,Has_Dose_Response_Curve,RNAi_BioAssay,Activity_Value,Taxonomy_ID,Target_Taxonomy_ID,Anatomy_ID
334812427,Summary,Unspecified,EAW77416,,,Tox21,qHTS assay to identify aromatase inhibitors: Summary,1-Amino-2-propanol,CYP19A1 - cytochrome P450 family 19 subfamily A member 1 (human),/gene/1588,,P11511,,,,,,,743139,144212021,4,,1588,,20140821,0,0,,9606,,
334931009,Confirmatory,Unspecified,AAI32976,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway,1-Amino-2-propanol,AR - androgen receptor (human),/gene/367,,AAI32976,,,,,,,743035,144212021,4,,367,,20140820,1,0,,9606,,
350751984,Summary,Unspecified,AAI13617,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,1-Amino-2-propanol,GLI3 - GLI family zinc finger 3 (human),/gene/2737,,AAI13617,144249,,,,,,1259392,144212021,4,,2737,,20180309,0,0,,9606,,
350756004,Summary,Unspecified,EAW81333,Potency,,Tox21,qHTS assay to identify small molecule agonists or antagonists of the thyroid stimulating hormone receptor (TSHR) signaling pathway - wild type cell line counter screen: Summary,1-Amino-2-propanol,TSHR - thyroid stimulating hormone receptor (human),/gene/7253,,P16473,45,,,,,,1259393,144212021,4,,7253,,20180312,0,0,,9606,,
334946933,Confirmatory,Unspecified,AEP43755,Potency,,Tox21,qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway,1-Amino-2-propanol,ESR1 - estrogen receptor 1 (human),/gene/2099,,P03372,,,,,,,743075,144212021,4,,2099,,20140820,1,0,,9606,,
334936603,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway - cell viability counter screen,1-Amino-2-propanol,,,,,,,,,,,743203,144212021,4,,,,20140821,1,0,,,,
350775837,Summary,Unspecified,EAW81333,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the thyroid stimulating hormone receptor (TSHR) signaling pathway: Summary,1-Amino-2-propanol,TSHR - thyroid stimulating hormone receptor (human),/gene/7253,,P16473,45,,,,,,1259395,144212021,4,,7253,,20180312,0,0,,9606,,
350791917,Summary,Unspecified,AAV31779,,,Tox21,qHTS assay to identify small molecule antagonists of the estrogen receptor beta (ER-beta) signaling pathway: Summary,1-Amino-2-propanol,ESR2 - estrogen receptor 2 (human),/gene/2100,,Q92731,54,,,,,,1259396,144212021,4,,2100,,20180312,0,0,,9606,,
335140294,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay for small molecule activators of the heat shock response signaling pathway - cell viability counter screen,1-Amino-2-propanol,,,,,,,,,,,743209,144212021,4,,,,20140821,1,0,,,,
335133080,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway - cell viability counter screen,1-Amino-2-propanol,,,,,,,,,,,743194,144212021,4,,,,20140821,1,0,,,,
334981715,Confirmatory,Unspecified,AAI32976,Potency,,Tox21,qHTS assay to identify small molecule agonists of the androgen  receptor (AR) signaling pathway using the MDA cell line,1-Amino-2-propanol,AR - androgen receptor (human),/gene/367,,AAI32976,,,,,,,743040,144212021,4,,367,,20140820,1,0,,9606,,
335033005,Confirmatory,Unspecified,BAH02283,Potency,,Tox21,qHTS assay to identify small molecule agonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway,1-Amino-2-propanol,PPARG - peroxisome proliferator activated receptor gamma (human),/gene/5468,,BAH02283,,,,,,,743094,144212021,4,,5468,,20140821,1,0,,9606,,
334982897,Confirmatory,Unspecified,AEP43755,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line,1-Amino-2-propanol,ESR1 - estrogen receptor 1 (human),/gene/2099,,P03372,,,,,,,743080,144212021,4,,2099,,20140820,1,0,,9606,,
371381562,Confirmatory,Unspecified,,Potency,,Tox21,Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay,1-Amino-2-propanol,CYP1A2 - cytochrome P450 family 1 subfamily A member 2 (human),/gene/1544,,,,,,,,,1671199,144212021,4,,1544,,20210929,1,0,,9606,,
334967947,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line - cell viability counter screen,1-Amino-2-propanol,,,,,,,,,,,743081,144212021,4,,,,20140821,1,0,,,,
335055869,Summary,Unspecified,AAI32976,Potency,,Tox21,qHTS assay to identify small molecule agonists of the androgen receptor (AR) signaling pathway: Summary,1-Amino-2-propanol,AR - androgen receptor (human),/gene/367,,AAI32976,,,,,,,743053,144212021,4,,367,,20140820,0,0,,9606,,
335021729,Confirmatory,Unspecified,NP_001531,Potency,,Tox21,qHTS assay for small molecule activators of the heat shock response signaling pathway,1-Amino-2-propanol,HSPB1 - heat shock protein family B (small) member 1 (human),/gene/3315,,P04792,,,,,,,743210,144212021,4,,3315,,20140821,1,0,,9606,,
334991732,Confirmatory,Unspecified,NP_006155,Potency,,Tox21,qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway,1-Amino-2-propanol,NFE2L2 - NFE2 like bZIP transcription factor 2 (human),/gene/4780,,Q16236,,,,,,,743202,144212021,4,,4780,,20140821,1,0,,9606,,
335001041,Summary,Unspecified,EAL24281,Potency,,Tox21,qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway: Summary,1-Amino-2-propanol,AHR - aryl hydrocarbon receptor (human),/gene/196,,P35869,,,,,,,743122,144212021,4,,196,,20140821,0,0,,9606,,
335074679,Summary,Unspecified,AEP43755,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line: Summary,1-Amino-2-propanol,ESR1 - estrogen receptor 1 (human),/gene/2099,,P03372,,,,,,,743091,144212021,4,,2099,,20140821,0,0,,9606,,
335064073,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway - cell viability counter screen,1-Amino-2-propanol,,,,,,,,,,,743064,144212021,4,,,,20140820,1,0,,,,
335019316,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay for identifying genotoxic compounds that show differential cytotoxicity against isogenic chicken DT40 cell lines with known DNA damage response pathways - Rad54/Ku70 mutant cell line,1-Amino-2-propanol,,,,,,,,,,,743015,144212021,4,,,,20140820,1,0,,,,
349469636,Confirmatory,Unspecified,AAI13617,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway,1-Amino-2-propanol,GLI3 - GLI family zinc finger 3 (human),/gene/2737,,AAI13617,144249,,,,,,1259369,144212021,4,,2737,,20180214,1,0,,9606,,
349424065,Confirmatory,Unspecified,NP_001308829,Potency,,Tox21,qHTS assay to identify small molecule HDAC inhibitors,1-Amino-2-propanol,HDAC9 - histone deacetylase 9 (human),/gene/9734,3.5.1.98,Q9UKV0,269,,,,,,1259364,144212021,4,,9734,,20180213,1,0,,9606,,
334754217,Confirmatory,Unspecified,AAI32976,Potency,,Tox21,qHTS assay to identify small molecule agonists of the androgen receptor (AR) signaling pathway,1-Amino-2-propanol,AR - androgen receptor (human),/gene/367,,AAI32976,,,,,,,743036,144212021,4,,367,,20140820,1,0,,9606,,
349442923,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway - cell viability counter screen,1-Amino-2-propanol,,,,,144249,,,,,,1259367,144212021,4,,,,20180214,1,0,,,,
384148192,Confirmatory,Unspecified,,Potency,,Tox21,"p53 small molecule agonists, cell-based qHTS assay with human liver microsomes: qHTS cell viability counter screen",1-Amino-2-propanol,,,,,269,,,,,,1963579,144212021,4,,,,20240725,1,0,,,,
334787067,Summary,Unspecified,AEP43755,Potency,,Tox21,qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway: Summary,1-Amino-2-propanol,ESR1 - estrogen receptor 1 (human),/gene/2099,,P03372,,,,,,,743077,144212021,4,,2099,,20140820,0,0,,9606,,
384111367,Confirmatory,Unspecified,,Potency,,Tox21,"p53 small molecule agonists, cell-based qHTS assay with rat liver microsomes: qHTS cell viability counter screen",1-Amino-2-propanol,,,,,269,,,,,,1963580,144212021,4,,,,20240725,1,0,,,,
384134070,Confirmatory,Unspecified,,Potency,,Tox21,"p53 small molecule agonists, cell-based qHTS assay with rat liver microsomes",1-Amino-2-propanol,TP53 - tumor protein p53 (human),/gene/7157,,,79329,,,,,,1963578,144212021,4,,7157,,20240715,1,0,,9606,,
334839636,Confirmatory,Unspecified,EAL24281,Potency,,Tox21,qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway,1-Amino-2-propanol,AHR - aryl hydrocarbon receptor (human),/gene/196,,P35869,,,,,,,743085,144212021,4,,196,,20140821,1,0,,9606,,
334792380,Confirmatory,Unspecified,NP_001257783,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway,1-Amino-2-propanol,Thrb - thyroid hormone receptor beta (Norway rat),/gene/24831,,NP_001257783,,,,,,,743065,144212021,4,,24831,,20140820,1,0,,10116,,
384150564,Confirmatory,Unspecified,,Potency,,Tox21,"p53 small molecule agonists, cell-based qHTS assay: qHTS cell viability counter screen",1-Amino-2-propanol,,,,,269,,,,,,1963581,144212021,4,,,,20240725,1,0,,,,
334928280,Confirmatory,Inconclusive,BAH02283,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway,1-Amino-2-propanol,PPARG - peroxisome proliferator activated receptor gamma (human),/gene/5468,,BAH02283,,,,,,,743191,144212021,4,,5468,,20140821,1,0,,9606,,
332007577,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to test for compound auto fluorescence at 460 nm (blue) in HepG2 cell free culture,1-Amino-2-propanol,,,,,,,,,,,720685,144212021,4,,,,20140820,1,0,,,,
303065924,Confirmatory,Unspecified,P04637,Potency,,Tox21,qHTS assay for small molecule agonists of the p53 signaling pathway,1-Amino-2-propanol,TP53 - tumor protein p53 (human),/gene/7157,,P04637,,,,,,,651631,144212021,4,,7157,,20140820,1,0,,9606,,
332043907,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to test for compound auto fluorescence at 590 nm (red) in HepG2 cells,1-Amino-2-propanol,,,,,,,,,,,720674,144212021,4,,,,20161028,1,0,,,,
303073345,Confirmatory,Unspecified,Q96QE3,Potency,,Tox21,qHTS assay for small molecules that induce genotoxicity in human embryonic kidney cells expressing luciferase-tagged ATAD5,1-Amino-2-propanol,ATAD5 - ATPase family AAA domain containing 5 (human),/gene/79915,,Q96QE3,,,,,,,651632,144212021,4,,79915,,20140820,1,0,,9606,,
303805665,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay for small molecule agonists of the p53 signaling pathway - cell viability,1-Amino-2-propanol,,,,,,,,,,,651633,144212021,4,,,,20140820,1,0,,,,
303812841,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay for small molecules that induce genotoxicity in human embryonic kidney cells expressing luciferase-tagged ATAD5 - cell viability,1-Amino-2-propanol,,,,,,,,,,,651634,144212021,4,,,,20140820,1,0,,,,
334892493,Summary,Unspecified,NP_001257783,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway: Summary,1-Amino-2-propanol,Thrb - thyroid hormone receptor beta (Norway rat),/gene/24831,,NP_001257783,,,,,,,743067,144212021,4,,24831,,20140820,0,0,,10116,,
332014372,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to test for compound auto fluorescence at 535 nm (green) in HepG2 cells,1-Amino-2-propanol,,,,,,,,,,,720675,144212021,4,,,,20161028,1,0,,,,
334962690,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the androgen  receptor (AR) signaling pathway using the MDA cell line - cell viability counter screen,1-Amino-2-propanol,,,,,,,,,,,743041,144212021,4,,,,20140820,1,0,,,,
334935570,Summary,Unspecified,BAH02283,Potency,,Tox21,qHTS assay to identify small molecule agonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway: Summary,1-Amino-2-propanol,PPARG - peroxisome proliferator activated receptor gamma (human),/gene/5468,,BAH02283,,,,,,,743140,144212021,4,,5468,,20140821,0,0,,9606,,
335048793,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to identify small molecule agonists of the peroxisome proliferator-activated receptor delta (PPARd) signaling pathway - cell viability counter screen,1-Amino-2-propanol,,,,,,,,,,,743211,144212021,4,,,,20140821,1,0,,,,
331951034,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to test for compound auto fluorescence at 460 nm (blue) in HEK293 cell free culture,1-Amino-2-propanol,,,,,,,,,,,720681,144212021,4,,,,20140820,1,0,,,,
331961054,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to test for compound auto fluorescence at 535 nm (green) in HEK293 cell free culture,1-Amino-2-propanol,,,,,,,,,,,720682,144212021,4,,,,20140820,1,0,,,,
335125968,Summary,Unspecified,AEP43755,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway: Summary,1-Amino-2-propanol,ESR1 - estrogen receptor 1 (human),/gene/2099,,P03372,,,,,,,743078,144212021,4,,2099,,20140820,0,0,,9606,,
384618673,Confirmatory,Unspecified,NP_000015,Potency,,Tox21,"Adrenergic beta2 receptor (ADRB2) small molecule agonists, cell-based qHTS assay",1-Amino-2-propanol,ADRB2 - adrenoceptor beta 2 (human),/gene/154,,P07550,108094,,,,,,1963593,144212021,4,,154,,20240802,1,0,,9606,,
330188094,Confirmatory,Inconclusive,,Potency,,Tox21,qHTS assay for small molecule disruptors of the mitochondrial membrane potential,1-Amino-2-propanol,,,,,,,,,,,720635,144212021,4,,,,20140820,1,0,,,,
384624727,Summary,Unspecified,,Potency,,Tox21,"p53 small molecule agonists, cell-based qHTS assay with rat liver microsomes: Summary",1-Amino-2-propanol,TP53 - tumor protein p53 (human),/gene/7157,,,269,,,,,,1963583,144212021,4,,7157,,20240730,0,0,,9606,,
335109222,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay for identifying genotoxic compounds that show differential cytotoxicity against isogenic chicken DT40 cell lines with known DNA damage response pathways - Rev3 mutant cell line,1-Amino-2-propanol,,,,,,,,,,,743014,144212021,4,,,,20140820,1,0,,,,
384632800,Summary,Unspecified,,Potency,,Tox21,"p53 small molecule agonists, cell-based qHTS assay: Summary",1-Amino-2-propanol,TP53 - tumor protein p53 (human),/gene/7157,,,269,,,,,,1963584,144212021,4,,7157,,20240730,0,0,,9606,,
331978679,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to test for compound auto fluorescence at 590 nm (red) in HEK293 cell free culture,1-Amino-2-propanol,,,,,,,,,,,720683,144212021,4,,,,20140820,1,0,,,,
331923797,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to test for compound auto fluorescence at 590 nm (red) in HEK293 cells,1-Amino-2-propanol,,,,,,,,,,,720679,144212021,4,,,,20140820,1,0,,,,
384636112,Summary,Unspecified,,Potency,,Tox21,"p53 small molecule agonists, cell-based qHTS assay with human liver microsomes: Summary",1-Amino-2-propanol,TP53 - tumor protein p53 (human),/gene/7157,,,269,,,,,,1963585,144212021,4,,7157,,20240730,0,0,,9606,,
331982339,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to test for compound auto fluorescence at 590 nm (red) in HepG2 cell free culture,1-Amino-2-propanol,,,,,,,,,,,720684,144212021,4,,,,20140820,1,0,,,,
331928162,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to test for compound auto fluorescence at 535 nm (green) in HEK293 cells,1-Amino-2-propanol,,,,,,,,,,,720680,144212021,4,,,,20140820,1,0,,,,
335978349,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the farnesoid-X-receptor (FXR) signaling pathway - cell viability counter screen,1-Amino-2-propanol,,,,,,,,,,,743221,144212021,4,,,,20140821,1,0,,,,
335154321,Confirmatory,Unspecified,EAW77416,Potency,,Tox21,qHTS assay to identify aromatase inhibitors,1-Amino-2-propanol,CYP19A1 - cytochrome P450 family 19 subfamily A member 1 (human),/gene/1588,,P11511,,,,,,,743083,144212021,4,,1588,,20140905,1,0,,9606,,
384624726,Summary,Unspecified,,Potency,,Tox21,"p53 small molecule agonists, cell-based qHTS assay with rat liver microsomes: Summary",1-Amino-2-propanol,TP53 - tumor protein p53 (human),/gene/7157,,,269,,,,,,1963583,144212021,4,,7157,,20240730,0,0,,9606,,
331897469,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to test for compound auto fluorescence at 460 nm (blue) in HEK293 cells,1-Amino-2-propanol,,,,,,,,,,,720678,144212021,4,,,,20140820,1,0,,,,
384652798,Confirmatory,Unspecified,,Potency,,Tox21,"Dopamine D2 receptor (DRD2) small molecule antagonists, cell-based qHTS assay",1-Amino-2-propanol,DRD2 - dopamine receptor D2 (human),/gene/1813,,,0,,,,,,1963595,144212021,4,,1813,,20240802,1,0,,9606,,
331981819,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the glucocorticoid receptor (GR) signaling pathway - cell viability counter screen,1-Amino-2-propanol,,,,,,,,,,,720693,144212021,4,,,,20140820,1,0,,,,
384572545,Confirmatory,Unspecified,,Potency,,Tox21,"p53 small molecule agonists, cell-based qHTS assay",1-Amino-2-propanol,TP53 - tumor protein p53 (human),/gene/7157,,,269,,,,,,1963582,144212021,4,,7157,,20240725,1,0,,9606,,
384632799,Summary,Unspecified,,Potency,,Tox21,"p53 small molecule agonists, cell-based qHTS assay: Summary",1-Amino-2-propanol,TP53 - tumor protein p53 (human),/gene/7157,,,269,,,,,,1963584,144212021,4,,7157,,20240730,0,0,,9606,,
336057810,Confirmatory,Unspecified,ADZ17382,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the farnesoid-X-receptor (FXR) signaling pathway,1-Amino-2-propanol,NR1H4 - nuclear receptor subfamily 1 group H member 4 (human),/gene/9971,,ADZ17382,,,,,,,743217,144212021,4,,9971,,20140821,1,0,,9606,,
384636111,Summary,Unspecified,,Potency,,Tox21,"p53 small molecule agonists, cell-based qHTS assay with human liver microsomes: Summary",1-Amino-2-propanol,TP53 - tumor protein p53 (human),/gene/7157,,,269,,,,,,1963585,144212021,4,,7157,,20240730,0,0,,9606,,
356612299,Confirmatory,Unspecified,ADZ17384,Potency,,Tox21,"Human pregnane X receptor (PXR) small molecule agonists, qHTS assay",1-Amino-2-propanol,NR1I2 - nuclear receptor subfamily 1 group I member 2 (human),/gene/8856,,ADZ17384,0,,,,,,1346982,144212021,4,,8856,,20190107,1,0,,9606,,
336068055,Summary,Unspecified,NP_006155,Potency,,Tox21,qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway: Summary,1-Amino-2-propanol,NFE2L2 - NFE2 like bZIP transcription factor 2 (human),/gene/4780,,Q16236,,,,,,,743219,144212021,4,,4780,,20140821,0,0,,9606,,
336018987,Summary,Unspecified,ADZ17382,Potency,,Tox21,qHTS assay to identify small molecule agonists of the farnesoid-X-receptor (FXR) signaling pathway: Summary,1-Amino-2-propanol,NR1H4 - nuclear receptor subfamily 1 group H member 4 (human),/gene/9971,,ADZ17382,,,,,,,743239,144212021,4,,9971,,20140821,0,0,,9606,,
336021450,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to identify small molecule agonists of the farnesoid-X-receptor (FXR) signaling pathway - cell viability counter screen,1-Amino-2-propanol,,,,,,,,,,,743218,144212021,4,,,,20140821,1,0,,,,
356582542,Summary,Unspecified,EGW14942,,,Tox21,"Caspase-3/7 induction in CHO-K1 cells by small molecules, qHTS assay: Summary",1-Amino-2-propanol,Casp7 - caspase 7 (Chinese hamster),/gene/100766857,,EGW14942,198,,,,,,1347037,144212021,4,,100766857,,20190129,0,0,,10029,,
384749179,Confirmatory,Unspecified,,Potency,,Tox21,"5-hydroxytryptamine receptor 2A (HTR2A) small molecule agonists, cell-based qHTS assay",1-Amino-2-propanol,HTR2A - 5-hydroxytryptamine receptor 2A (human),/gene/3356,,,0,,,,,,1963587,144212021,4,,3356,,20240802,1,0,,9606,,
336078597,Summary,Unspecified,BAH02291,,,Tox21,qHTS assay to identify small molecule antagonists of the vitamin D receptor (VDR) signaling pathway: Summary,1-Amino-2-propanol,VDR - vitamin D receptor (human),/gene/7421,,BAH02291,,,,,,,743242,144212021,4,,7421,,20140905,0,0,,9606,,
384762543,Confirmatory,Unspecified,NP_000015,Potency,,Tox21,"Adrenergic beta2 receptor (ADRB2) small molecule antagonists, cell-based qHTS assay",1-Amino-2-propanol,ADRB2 - adrenoceptor beta 2 (human),/gene/154,,P07550,108094,,,,,,1963592,144212021,4,,154,,20240802,1,0,,9606,,
341291548,Summary,Unspecified,EAW90694,Potency,,Tox21,qHTS assay to identify small molecule agonists of the endoplasmic reticulum stress response signaling pathway: Summary,1-Amino-2-propanol,ATF6 - activating transcription factor 6 (human),/gene/22926,,P18850,,,,,,,1159519,144212021,4,,22926,,20150609,0,0,,9606,,
341292352,Summary,Unspecified,AAH14804,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the retinoid-related orphan receptor gamma (ROR-gamma) signaling pathway: Summary,1-Amino-2-propanol,Rorc - RAR-related orphan receptor gamma (house mouse),/gene/19885,,P51450,,,,,,,1159523,144212021,4,,19885,,20150713,0,0,,10090,,
345761471,Confirmatory,Unspecified,,Potency,,Tox21,qHTS RealTime-Glo MT Cell Viability Assay in HepG2 cells - 24 hour,1-Amino-2-propanol,,,,,27,,,,,,1224867,144212021,4,,,,20160908,1,0,,,,
384660105,Confirmatory,Unspecified,NP_000729,Potency,,Tox21,"Cholinergic receptor muscarinic 1 (CHRM1) small molecule agonists, cell-based qHTS assay",1-Amino-2-propanol,CHRM1 - cholinergic receptor muscarinic 1 (human),/gene/1128,,P11229,0,,,,,,1963589,144212021,4,,1128,,20240802,1,0,,9606,,
384662052,Confirmatory,Unspecified,,Potency,,Tox21,"5-hydroxytryptamine receptor 2A (HTR2A) small molecule antagonists, cell-based qHTS assay",1-Amino-2-propanol,HTR2A - 5-hydroxytryptamine receptor 2A (human),/gene/3356,,,0,,,,,,1963586,144212021,4,,3356,,20240802,1,0,,9606,,
336426194,Summary,Unspecified,NP_001531,Potency,,Tox21,qHTS assay for small molecule activators of the heat shock response signaling pathway: Summary,1-Amino-2-propanol,HSPB1 - heat shock protein family B (small) member 1 (human),/gene/3315,,P04792,,,,,,,743228,144212021,4,,3315,,20140821,0,0,,9606,,
341300437,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to identify small molecule agonists of the NFkB signaling pathway - cell viability counter screen,1-Amino-2-propanol,,,,,,,,,,,1159515,144212021,4,,,,20150602,1,0,,,,
384664113,Confirmatory,Unspecified,AAH21195,Potency,,Tox21,"Dopamine D2 receptor (DRD2) small molecule agonists, cell-based qHTS assay",1-Amino-2-propanol,DRD2 - dopamine receptor D2 (human),/gene/1813,,P14416,0,,,,,,1963594,144212021,4,,1813,,20240802,1,0,,9606,,
384710418,Confirmatory,Unspecified,NP_000729,Potency,,Tox21,"Cholinergic receptor muscarinic 1 (CHRM1) small molecule antagonists, cell-based qHTS assay",1-Amino-2-propanol,CHRM1 - cholinergic receptor muscarinic 1 (human),/gene/1128,,P11229,0,,,,,,1963588,144212021,4,,1128,,20240802,1,0,,9606,,
345772928,Confirmatory,Unspecified,,Potency,,Tox21,A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HEK293 cells - 16 hour,1-Amino-2-propanol,,,,,45,,,,,,1224888,144212021,4,,,,20160908,1,0,,,,
345765121,Confirmatory,Unspecified,,Potency,,Tox21,A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HepG2 cells - 8 hour,1-Amino-2-propanol,,,,,27,,,,,,1224890,144212021,4,,,,20160908,1,0,,,,
345785165,Confirmatory,Unspecified,,Potency,,Tox21,qHTS RealTime-Glo MT Cell Viability Assay in HepG2 cells - 32 hour,1-Amino-2-propanol,,,,,27,,,,,,1224877,144212021,4,,,,20160908,1,0,,,,
341318183,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to identify small molecule agonists of the endoplasmic reticulum stress response signaling pathway - cell viability counter screen,1-Amino-2-propanol,,,,,,,,,,,1159517,144212021,4,,,,20150604,1,0,,,,
336444146,Summary,Unspecified,BAH02291,Potency,,Tox21,qHTS assay to identify small molecule agonists of the vitamin D receptor (VDR) signaling pathway: Summary,1-Amino-2-propanol,VDR - vitamin D receptor (human),/gene/7421,,BAH02291,,,,,,,743241,144212021,4,,7421,,20140821,0,0,,9606,,
345788798,Confirmatory,Unspecified,,Potency,,Tox21,A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HepG2 cells - 40 hour,1-Amino-2-propanol,,,,,27,,,,,,1224879,144212021,4,,,,20160908,1,0,,,,
345770503,Confirmatory,Unspecified,,Potency,,Tox21,qHTS RealTime-Glo MT Cell Viability Assay in HepG2 cells - 8 hour,1-Amino-2-propanol,,,,,27,,,,,,1224873,144212021,4,,,,20160908,1,0,,,,
345774250,Confirmatory,Unspecified,,Potency,,Tox21,qHTS RealTime-Glo MT Cell Viability Assay in HEK293 cells - 8 hour,1-Amino-2-propanol,,,,,45,,,,,,1224887,144212021,4,,,,20160908,1,0,,,,
345795749,Confirmatory,Unspecified,,Potency,,Tox21,A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HEK293 cells - 24 hour,1-Amino-2-propanol,,,,,45,,,,,,1224875,144212021,4,,,,20160908,1,0,,,,
356660363,Summary,Unspecified,AAH14840,Potency,,Tox21,"TGF-beta/Smad small molecule agonists, qHTS assay: Summary",1-Amino-2-propanol,SMAD2 - SMAD family member 2 (human),/gene/4087,,Q15796,54,,,,,,1347035,144212021,4,,4087,,20190129,0,0,,9606,,
356660043,Confirmatory,Unspecified,,Potency,,Tox21,"Caspase-3/7 induction in CHO-K1 cells by small molecules, qHTS cell viability counter screen",1-Amino-2-propanol,,,,,198,,,,,,1346979,144212021,4,,,,20190107,1,0,,,,
343031642,Confirmatory,Unspecified,ADZ17337,Potency,,Tox21,qHTS assay to identify small molecule agonists of the retinoic acid receptor (RAR) signaling pathway,1-Amino-2-propanol,RARA - retinoic acid receptor alpha (human),/gene/5914,,P10276,144007,,,,,,1159553,144212021,4,,5914,,20150923,1,0,,9606,,
356660364,Summary,Unspecified,AAH50743,Potency,,Tox21,"TGF-beta/Smad small molecule agonists, qHTS assay: Summary",1-Amino-2-propanol,SMAD3 - SMAD family member 3 (human),/gene/4088,,P84022,54,,,,,,1347035,144212021,4,,4088,,20190129,0,0,,9606,,
345738047,Confirmatory,Unspecified,,Potency,,Tox21,qHTS RealTime-Glo MT Cell Viability Assay in HepG2 cells - 40 hour,1-Amino-2-propanol,,,,,27,,,,,,1224870,144212021,4,,,,20160908,1,0,,,,
