id,PubChem_Pathway,Source,Source_Pathway,Source_Pathway_Link,Equation,Reaction,Control,Compound_CID,PubChem_Protein,PubChem_Gene,Taxonomy,PubChem_Enzyme,Evidence_PMID,Reactant_CID,Product_CID,dois,pmcids,pclids,citations,Taxonomy_ID
PathBank,SMP0002032,http://pathbank.org/view/SMP0002032,"Benzo[a]pyrene-4,5-oxide + Glutathione ⟶ 1-Amino-propan-2-ol","<a href='https://pubchem.ncbi.nlm.nih.gov/compound/124886'>Glutathione</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/37786'>Benzo[a]pyrene-4,5-oxide</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/4'>1-Amino-propan-2-ol</a>",activated by Glutathione S-transferase,124886|37786|4,P0A9D2,945758,Escherichia coli,2.5.1.18,,124886|37786,4,,,,,562
PathBank,SMP0122217,http://pathbank.org/view/SMP0122217,"Benzo[a]pyrene-4,5-oxide + Glutathione ⟶ 1-Amino-propan-2-ol","<a href='https://pubchem.ncbi.nlm.nih.gov/compound/124886'>Glutathione</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/37786'>Benzo[a]pyrene-4,5-oxide</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/4'>1-Amino-propan-2-ol</a>",activated by Glutathione S-transferase,124886|37786|4,,,Pseudomonas aeruginosa,,,124886|37786,4,,,,,287
BioCyc,TRYPANO_PWY-5448,https://biocyc.org/pathway?orgid=TRYPANO&id=PWY-5448,1-amino-propan-2-ol + NAD<sup>+</sup> ⟶ H<SUP>+</SUP> + NADH + aminoacetone,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/4'>1-amino-propan-2-ol</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5893'>NAD<sup>+</sup></a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/215'>aminoacetone</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439153'>NADH</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5460653'>H<SUP>+</SUP></a>,,215|4|439153|5460653|5893,,,Trypanosoma brucei,,,4|5893,215|439153|5460653,,,,,5691
BioCyc,TRYPANO_THREOCAT-PWY,https://biocyc.org/pathway?orgid=TRYPANO&id=THREOCAT-PWY,1-amino-propan-2-ol + NAD<sup>+</sup> ⟶ H<SUP>+</SUP> + NADH + aminoacetone,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/4'>1-amino-propan-2-ol</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5893'>NAD<sup>+</sup></a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/215'>aminoacetone</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439153'>NADH</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5460653'>H<SUP>+</SUP></a>,,215|4|439153|5460653|5893,,,Trypanosoma brucei,,,4|5893,215|439153|5460653,,,,,5691
